qid,question,answer_id,video_id,a0,a1,a2,a3,start,end
10,Does the man respect the woman?,3,07YuuA_2O9w,The man is jealous of the woman's success.,The woman is secretly plotting against the man.,"admires her style and fashion sense, but does not acknowledge her professional abilities beyond that.","No, the man tries to assert his authority over the woman and condescendingly implies that she owes him for her current life.",0,60
11,Does the tension between the two people improve by the end?,1,07YuuA_2O9w,"Yes, the matter was resolved and both people calmed down.","No, the conversation escalated into an argument about irrelevant personal issues.",The two people hug it out and become friends.,The two people agree to disagree and move on.,0,60
12,How does the man feel about the woman taking charge?,2,07YuuA_2O9w,The man is jealous of the woman's success.,The man is initially surprised but praises the woman for taking charge.,The man is displeased at the woman for overstepping her bounds and tries to put her in her place.,He is angry at the woman for overstepping her bounds.,0,60
13,What is the mood of the conversation?,1,07YuuA_2O9w,The conversation is engaging and lively.,The conversation is tense and combatative as the man and the woman argue.,The conversation is casual as the man and woman share their happy experiences with each other. (rewrite needed),The conversation is polite and respectful.,0,60
14,Why does the woman roll her eyes?,3,07YuuA_2O9w,The woman is rolling her eyes and pretending to be upset with him.,The woman is checking her phone.,The woman interrupts the man to assert her authority.,The woman is exasperated at the man's attitude and disagrees with him.,0,60
15,Is the blonde woman being honest when she says that she has nothing to confront?,0,088CLxgnr8w,"No, the blonde woman is not being honest when she says she has nothing to confront because she later speaks up.",she has not been forthcoming and is hiding something.,The blonde woman is actually lying about confronting Noah.,The blonde woman is actually a spy working for the government.,0,60
16,What is the atmosphere between the women?,2,088CLxgnr8w,The atmosphere between them is jovial because they are excited about going to the beach.,The women are gathered but the atmosphere between them is awkward.,The atmosphere between them is tense because the blonde person is disclosing her issues with the way the other woman acts.,The atmosphere between them is jealous because they are gossiping about the people that they do not like,0,60
17,Why do the women look out the window rather than looking at each other towards the end of the video?,0,088CLxgnr8w,The women look out the window rather than looking at each other towards the end of the video because they are upset at each other.,they got distracted by a bird flying outside.,She feels upset about the argument and wants to avoid eye contact.,The women are looking out the window to admire the scenery.,0,60
18,Why does the woman on the right raise her eyebrows when talking to the woman on the left.,3,088CLxgnr8w,The woman on the right raises her eyebrows because she is surprised by something the woman on the left said.,She raises her eyebrows because she enjoys the present conversation and is very excited.,The woman on the right raises her eyebrows because she is irritated with the heated conversation and annoyed facial expressions of the woman on the left.,She raises her eyebrows because is annoyed with the present conversation and is very irritated.,0,60
19,Why is there a massive pause between the women before they talk to each other again?,1,088CLxgnr8w,The pause was because Harper suddenly remembered she left the oven on.,There's a pause because the blonde woman initially says that she has nothing to say but then changes her mind.,The pause was because Harper spilled her drink.,There's a pause because the blonde woman needed to stop talking for a moment,0,60
20,How do the two girls feel about the man?,3,0A0kEeMHVYI,The girls are discussing their favorite TV show.,The two girls both have a crush on the man and fight over who gets to talk to,The blonde girl is suspicious of the man's motives because of his strange behavior.,"The brunette girl likes the man and wants to trust him, while the blonde girl is wary of him.",0,60
21,What does the blonde girl think about going on the hike?,0,0A0kEeMHVYI,The blonde girl thinks that the hike is a bad idea and gives reasons why going on the hike is illogical.,The blonde girl is excited about the opportunity to take pictures of people's souls on the hike.,"blonde girl is excited to go on the hike with the brunette girl, as they both",The blonde girl thinks that the hike is a great idea and can't wait to go.,0,60
22,What is the tone of the conversation?,0,0A0kEeMHVYI,"The conversation is confrontational, as the two girls argue over what they should do.",The conversation is lighthearted and humorous.,"The conversation is peaceful, as the two girls calmly discuss their differing opinions without any argument.",The conversation is filled with sadness and regret.,0,60
23,Why does the brunette girl frown as the blonde girl is talking?,1,0A0kEeMHVYI,The brunette girl frowns because she is worried about the blonde girl.,The brunette girl frowns because she disagrees with the blonde girl.,The brunette girl frowns because she is hungry.,The brunette girl frowns because she is confused.,0,60
24,"Why does the brunette girl repeat the word ""helicopter?""",3,0A0kEeMHVYI,The brunette girl is confused about the man's intentions.,The brunette girl is trying to remember the name of the man.,The brunette girl is mulling over the idea of using a helicopter and is thinking,The brunette girl thinks that the blonde girl's example is ridiculous and overexaggerating.,0,60
25,Did the woman mean it when she said she hated the man?,0,0AslM2bC5DY,"No, she said it jokingly since she was smiling and moving closer to him as she said it.",The woman was assertive in expressing her hatred towards the man.,"Yes, she meant it sincerely since she was extremely angry at him for standing too close to her and invading her personal space.",The woman was actually in love with the man.,0,60
26,Does the man seem comfortable with the woman touching his face?,3,0AslM2bC5DY,The man is uncomfortable with the woman touching his face.,"No, he flinches when she touches his face and politely asks her to stop.",The man and woman interact casually with each other.,"Yes, she touches his face quite naturally and he does not pull back at all.",0,60
27,How does the man react to hearing that people around them think that the two are romantically involved?,3,0AslM2bC5DY,He is visibly disgusted by the idea of them being together and wants to distance himself,He looks uncomfortable and denies any romantic involvement.,He tries to change the subject and talk about something else.,He likes the idea of them being together and flirts heavily with her throughout the conversation.,0,60
28,What is the atmosphere like between the woman and the man?,3,0AslM2bC5DY,"The woman and the man appear to be cordial towards each other, but their body language suggests a subtle tension.",The woman and the man are just friends and have no romantic interest in each other.,The atmosphere between the woman and the man was awkward and tense.,The woman and the man are intimate with each other and feel at ease standing closely.,0,60
29,Why does the woman touch the man's face?,3,0AslM2bC5DY,"Yes, as they are practicing a new dance move.",She is wiping off some dirt on his face that got on him when he fell.,"Yes, she is applying sunscreen to his face.",She is putting a bandage on his face to take care of him.,0,60
30,How do the boys feel about the fact that mommy comes home today?,1,0B9VJfzqwhM,The boys are sad that they have to spend time with their family.,They are happy.,They are excited.,The boys are worried about mommy coming home.,0,59
31,How do the two boys feel about playing with the toys with one another?,0,0B9VJfzqwhM,They are happy and amused,They are competitive with each other.,They are competitive.,The baby keeps interrupting their playtime.,0,59
32,How does the man feel about going to get mom?,2,0B9VJfzqwhM,He is excited.,The man is annoyed about having to go get his wife.,He is excited.,The man is worried about his wife's reaction to the video.,0,59
33,"How does the man seem to feel about ""mommy coming home""?",2,0B9VJfzqwhM,"How does the man seem to feel about ""mommy coming home""?",The man is annoyed that mommy is coming home.,He is very excited.,The man is worried that mommy coming home will ruin their fun.,0,59
34,Why does the boy in the striped red shirt say he's sad?,2,0B9VJfzqwhM,Because the man is not a good parental figure to him.,Because he dropped his ice cream.,Because his brother won't play with him,Because his mom has been gone,0,59
35,Does the woman mind the man correcting her on her math problem?,0,0GQ8pgQJShg,"No, she thanks him for helping her.","No, she tells him that his advice was unnecessary.",The woman gets angry and storms off.,The woman appreciates the man's help but wishes he had waited for her to ask for it.,0,60
36,How does the woman feel about Dom?,2,0GQ8pgQJShg,The woman is excited to hear about Dom's idea.,She is even more excited after Dom is brought up.,She is disinterested in him since she goes from smiling and laughing to an exasperated expression when he is brought up.,She is enamored with him since she's eager to go to his party,0,60
37,Is the man nervous?,2,0GQ8pgQJShg,The man is confident in what he is saying during the conversation.,"No, he is not nervous because he speaks eloquently and does not show any signs of anxiety.","Yes, he is nervous because he stutters and fidgets a lot during the conversation.",The man on the right feels uncomfortable during the conversation.,0,60
38,Why does the man continue to stare at the woman as she walks away?,3,0GQ8pgQJShg,The man stares at the woman because he is interested in her.,The man squints his eyes because he is trying to read the sign behind the woman.,The man is checking out the woman's shoes.,The man stares at the woman because he is infatuated with her.,0,60
39,Why does the woman laugh when the man tells her that Dom would love the pleasure of her company?,0,0GQ8pgQJShg,She laughs because she doesn't believe that he would say that and thinks it's ridiculous.,She laughs because she remembers a funny joke.,She laughs because she's pleased that he wants to spend time with her.,She laughs because she enjoys talking to the man.,0,60
40,Does the woman know the man well?,0,0KoG04_heLE,"Yes, because she knows about his personal qualities and the motivations for his actions.",The woman is a professional singer.,The man and the woman don't have anything in common because they have different interests.,"No, because she does not know anything about his personality or behavior.",0,60
41,How does the woman feel about the man during the conversation?,1,0KoG04_heLE,She is sympathetic towards him during the conversation.,She is frustrated with him because of his past behavior.,She is indifferent towards him during the conversation.,She is happy with him because of the good things he does for her.,0,60
42,Is the man taking the conversation seriously?,3,0KoG04_heLE,"No, he is not taking her seriously.","Yes, he is fully engaged in the conversation.","Yes, he is actively engaging with everything that the woman says.","No, because he is being playful and brushing parts of it off.",0,60
43,Why does the man pretend not to know what the woman is talking about?,1,0KoG04_heLE,prank on her.,He does not want to be blamed for his past shortcomings.,The man is trying to impress the woman.,The man is avoiding responsibility for his past actions.,0,60
44,Why does the woman bob her head up and down?,1,0KoG04_heLE,She is nodding along to the beat of the song in the background.,She is emphasizing the facts that she is explaining to the man.,She is trying to remember the lyrics to a song she heard earlier.,She is agreeing with what the man said.,0,60
45,How does the girl in the yellow skirt feel after she has gotten the names of the babies correct?,3,0LDAgvbRtk4,She feels friendly towards the babies,The woman scolds the girl for getting the names wrong.,"The girl in the yellow skirt jumps up and down with excitement after getting the names of the babies correct, but she actually got them wrong.",she feels very happy,0,59
46,How does the girl in the yellow skirt feel towards the babies?,0,0LDAgvbRtk4,She cares about them,she thinks the babies are cute,The girl in the yellow skirt is jealous of the babies.,The girl in the yellow skirt is scared of the babies.,0,59
47,How does the woman feel towards the children in the video?,3,0LDAgvbRtk4,she likes the babies at all,She is annoyed by the children's behavior.,She is jealous of the children's toys.,she loves the children,0,59
48,Why is the woman laughing and smiling at the beginning?,2,0LDAgvbRtk4,"No, she was actually feeling sad.",a funny joke which made her laugh.,she is feeling very happy,"Yes, because she found the situation amusing.",0,59
49,Why is the woman using a soft voice with the baby?,0,0LDAgvbRtk4,because she doesn't want to scare the babies,The woman is trying to teach the baby a new language.,She is using a soft voice because the baby is sleeping.,The woman is afraid of the baby's crying.,0,59
50,Is the woman concerned with the man's wellbeing?,1,0S5i79_1t8k,"No, she just wants him to be with her.","Yes, she asks him about the bruise on his face and how he got to the house.",The man on the couch is actually a robot.,The woman is laughing at the man's sweat stains.,0,60
51,Is the woman excited to see the man?,0,0S5i79_1t8k,"No, she does not want him at the house.",The woman is annoyed with the man.,"Yes, she is glad he stopped by.",The woman feels positively about the man.,0,60
52,What kind of laugh does the man let out?,1,0S5i79_1t8k,He lets out a small giggle because he finds the situation amusing.,He lets out a nervous laugh because of the tension in the situation.,He lets out a loud guffaw because he thinks the situation is hilarious.,He lets out a hearty laugh after hearing a funny joke.,0,60
53,Why does the woman keep looking behind her?,1,0S5i79_1t8k,The woman is trying to hide from someone.,"She does not want to be seen with the man, so she wants to make sure nobody is around.",The woman is trying to signal something to someone behind her.,"She heard some sounds, and wants to know where they are coming from.",0,60
54,Why does the woman put one finger up?,3,0S5i79_1t8k,She is showing one finger to indicate that she will be back in one minute.,She is showing one finger to indicate that she has to leave in one minute.,She wants to shush the man.,She wants to show the number 1 because she is going out for 1 minute.,0,60
55,How does the blond woman feel by the end of the video?,1,0SuGC2ifkIA,She is excited,She is annoyed and frustrated,One of the hosts is impressed by their own cooking skills.,"The special guest, Ronny, is extremely happy with the dish.",0,59
56,How does the dark-haired woman feel after the blond woman talks about what she wants to cook for the first time?,1,0SuGC2ifkIA,She is excited,"The dark-haired woman tries to imagine the dish that is planned, but creates negative expectations.",The hosts are arguing about what to cook.,The dark-haired woman is skeptical about the dish.,0,59
57,How does the man feel at the beginning of the video?,1,0SuGC2ifkIA,The hosts are excited and chatty.,The man feels a bit confused but goes along with it.,The man is hesitant and unsure.,He feels comfortable,0,59
58,Why does the man in white look confused?,3,0SuGC2ifkIA,The man in white is confused because he doesn't know how to cook.,The man in white is confused about why the blond woman is frowning.,The man in white is confused because he forgot his lines.,"The man in white is confused because the woman on the right promised to make him something sweet, but she made him something bitter.",0,59
59,Why does the woman in black seem disgusted?,1,0SuGC2ifkIA,The woman in black is disgusted because she doesn't like meat in her food.,The woman in black seems disgusted because she doesn't like bitter foods.,The woman in black seems disgusted because she doesn't like spicy food.,The woman in black seems disgusted because she doesn't like the smell of the sambal.,0,59
60,How does the man's attitude change?,0,0USGkmweHJM,"He is first happy that he is able to be on this flight, but then becomes distressed after learning the cost of the tickets.",He appears calm and composed after learning the cost of the tickets.,"He is first angry that he is unable to be on this flight, but then becomes content with the wait.",He feels exasperated and frustrated after learning the cost of the tickets.,0,60
61,How does the woman feel when the man keeps changing which credit card he wants to use?,1,0USGkmweHJM,"The woman is not interested in the man's credit cards, but she cares about the hockey game.","She is annoyed that he keeps handing her different cards, and has to force a smile in the end.",She is confused about why he keeps talking about hockey.,There was no answer that needed rewriting provided in the question prompt.,0,60
62,Why does the man keep handing the woman different credit cards?,0,0USGkmweHJM,He is indecisive and apprehensive about spending such a large amount of money.,He is worried about his credit limit.,He is trying to impress the woman.,He is sure which card will work.,0,60
63,Why does the man nod his head?,1,0USGkmweHJM,He is agreeing with the woman's opinion on flight options.,He is showing that he understands what the woman is saying about ticket prices.,The man nods along to show he's listening to the woman.,The man nods his head in response to the woman's explanation.,0,60
64,Why does the man put his thumbs up?,3,0USGkmweHJM,He wants to show his approval of the woman's decision.,He wants to show the boy that the boy did a good job.,He is celebrating his favorite hockey team's victory.,He wants to signal to the boy that they will be able to have seats on a flight.,0,60
65,How does the man help with the woman's performance anxiety?,2,0VfHifH5IQQ,He gives her a pep talk about how important the performance is.,He is telling her to relax and enjoy the moment.,"He asks her to pretend it's just a rehearsal, not a performance.",He tells her that she should meditate to get rid of her nerves.,0,60
66,Is the woman confident in her skills?,2,0VfHifH5IQQ,"Yes, she is very sure of herself.",The woman is not interested in performing.,"No, she needs encouragement in order to perform.",The woman is scared of performing.,0,60
67,What made the woman go from frowning to smiling?,3,0VfHifH5IQQ,The woman saw a butterfly.,The man told her a joke.,The woman laughed at a joke.,The man gave her an encouraging compliment.,0,60
68,Why does the man filming the video zoom into the background?,2,0VfHifH5IQQ,The man filming the video zooms into the background to avoid the people in the foreground.,He zoomed in to capture the beauty of the field.,He sees people there and wants to see what is happening.,the nature scenery.,0,60
69,Why does the woman drop to the ground?,2,0VfHifH5IQQ,She tripped on a rock and fell.,The woman drops to the ground to take a nap.,She heard a gunshot and wants to avoid being shot.,The woman drops to the ground to tie her shoelaces.,0,60
70,Are the man and the woman close?,3,0X0H70JBnBM,The man and the woman relate to each other's experiences.,The man and the woman are neighbors.,"No, they're actually distant relatives who have hardly spoken to each other in the past.","Yes, they've known each other for over two years and talk familiarly to each other.",0,60
71,"Does the man believe the woman when she says that if she doesn't find a use for him, she will get rid of him?",1,0X0H70JBnBM,The man understands what she is saying but doesn't believe her.,"No, he knows that she is being facetious and doesn't mean it.",The man listens to her but doesn't believe what she says.,", he takes her at her word and begins to worry that she will leave him eventually",0,60
72,Is the woman confident?,0,0X0H70JBnBM,"Yes, the woman openly tells the man that he should write about her and she curtly tells him to stop while putting her hand out to physically stop him.",The woman is hesitant to speak her mind.,"No, the woman is not confident, she stutters while talking to him and",The woman is annoyed with the man's hair.,0,60
73,Why does the man dodge the woman's question when she asks if he's writing about her?,2,0X0H70JBnBM,The man doesn't answer the woman's question because he doesn't want to hurt her feelings.,The man is worried that the woman will steal his ideas.,"The man is being coy, not wanting to give a straight answer in order to be flirtatious.","The man is actually writing about his cat, not the woman.",0,60
74,Why does the woman tell the man to stop?,2,0X0H70JBnBM,The woman tells him to stop because he kept interrupting her and she wanted him to listen.,The woman tells him to stop because she wants to take a picture of him.,The woman tells him to stop because she noticed his shoe laces were untied and she wanted to reach down to tie them for him.,The woman tells him to stop because she wants to show him a new dance move.,0,60
75,Does the older man think highly of Apollo?,1,0XPNvEJ0Xx4,"No, the older man thinks Apollo is a terrible fighter.","Yes, the older man has nothing but praise Apollo and calls him a perfect fighter.","Yes, the older man thinks Apollo is overrated.","No, the older man beat Apollo easily, so he disparages him.",0,60
76,How does the older man react when the younger man asks to be trained?,3,0XPNvEJ0Xx4,The older man is angry and refuses to train the younger man.,The older man ignores the younger man's request and walks away without saying a word.,The older man agrees to train the younger man for a fee.,The older man laughs at the younger man's request and tells him he doesn't do that anymore.,0,60
77,Is the older man evasive while talking to the younger man?,3,0XPNvEJ0Xx4,"No, he keeps redirecting the conversation.","No, because he keeps answering the questions that the younger man asks.",The older man is dominating the conversation by doing the majority of the speaking.,"Yes, since he keeps redirecting the conversation and turning away.",0,60
78,What is the younger man's attitude towards the older man?,0,0XPNvEJ0Xx4,"The younger man is very interested in the older man, as shown by how much he knows about the man's past, and respects his skills.",The younger man is nice to the older man since he persistently keeps asking the older man,The younger man is engaged in the conversation with the older man.,The younger man is annoyed by the older man's stories.,0,60
79,Why does the older man keep talking about closing up the shop?,3,0XPNvEJ0Xx4,The older man wants to leave the conversation to watch a boxing match on TV.,The older man is worried about the safety of the shop and wants to close it up for the night.,He is trying to rush the younger man out of the shop.,The older man does not want to answer the younger man's questions and he is trying to politely end the conversation.,0,60
80,Are the two men good friends?,2,0_8zVtd5VLY,"Yes, they seem to be having a good time together.",The two men are competing for attention.,"no, they are not getting along.",The two men are indifferent towards each other.,0,56
81,Are the two men in agreement?,3,0_8zVtd5VLY,"Yes, they agree and nod along as the other talks.","Yes, they shake their heads when the other speaks.","No, they are arguing and not listening to each other.","No, they are not. One is trying to defend himself while the other is verbally attacking him.",0,56
82,How does the checkered shirt feel about the other man?,3,0_8zVtd5VLY,He is indifferent to him.,He is confused by him.,He is envious of the other man.,He is frustrated at him.,0,56
83,How does the man on the left act?,2,0_8zVtd5VLY,The man on the left acts very kindly.,The man on the left is very aggressive.,Very laid back.,The man on the left is very relaxed and carefree.,0,56
84,Is the man in the checkered shirt compassionate?,0,0_8zVtd5VLY,"No, the man in the checkered shirt is not compassionate, he is highly critical",He is cruel towards him.,"Yes, the man in the checkered shirt is compassionate, but only towards cats.",He is dismissive of what the man in the black shirt has to say.,0,56
85,Why does the man in the checkered shirt cut off the conversation?,1,0_8zVtd5VLY,The man in the checkered shirt had to leave for an important meeting.,He is not interested.,He is running out of time.,The man in purple is distracted by the toy commercial and wants to watch it.,0,56
86,Why does the man on the right interrupt the man on the left?,0,0_8zVtd5VLY,He doesn't care what he has to say.,He is too distracted by his phone to listen.,The man on the right was bored and wanted to change the subject.,The man on the right was trying to impress the young man on the left.,0,56
87,Why is the man facing forwards mad at the man facing sideways?,0,0_8zVtd5VLY,"Because he wants the man facing sideways to be a more productive member of society, less lazy, and get a job. But the man facing sideways wants to bring peace to the world without a job.",The man facing forwards is angry because the man facing sideways achieved his goal of being lazy.,The man facing forwards is angry because the man facing sideways is not wearing a hat.,Because the man facing sideways stole the man facing forwards' girlfriend.,0,56
88,What does the standing woman feel about the second video?,3,0a2lv4IwZFY,She does not find it amusing.,The woman in the room is bored by the second video.,"No, she did not enjoy it.",She finds it entertaining,0,60
89,What does the woman feel about the video?,1,0a2lv4IwZFY,Both women feel incredibly sad about the video because there is a man suffering,The standing woman finds it entertaining,The woman is confused about the purpose of the video.,She feels bored watching the video.,0,60
90,Why does the woman feel about the second video?,1,0a2lv4IwZFY,She dislikes the people in the video.,The standing woman finds it amusing,The woman finds the second video funny.,She dislikes the video.,0,60
91,"why does one women laugh and the other does not , what can be interpreted about their personalities from this?",2,0a2lv4IwZFY,"The sitting woman is a pessimist, while the standing woman is an optimist.","The sitting woman is boring, while the standing woman is hilarious.","The sitting woman seems boring, while the standing woman seems more fun",one of them finds it funny other finds it sad,0,60
92,why is no one feeling sad for the person trapped?,1,0a2lv4IwZFY,they cannot help him so they are focusing on other things,"Because they are watching him suffer in the context of a funny video, so it is harder to feel sympathy for him",They are too busy enjoying the activities to notice the trapped person.,Someone else wants to help him out of the trap.,0,60
93,What does the woman in black and gray's grimace mean?,2,0ajln01OfXs,The woman in black and gray is making it clear that she doesn't want to be involved in the mom's club.,The woman in black and gray is annoyed with the pregnant woman.,It shows superficial sympathy for the pregnant woman's situation.,that she is disgusted by what her friends did.,0,60
94,What makes the woman in blue smile?,0,0ajln01OfXs,She is remembering a job offer she received.,She is happy about a recent promotion.,She is laughing at a joke her friend made.,she was confused about the question.,0,60
95,Why does the man start running towards the pregnant woman?,3,0ajln01OfXs,He wants to ask her for directions.,He is trying to catch his dog who ran towards the pregnant woman.,"She dropped something, and he wants to return it.",He realizes that she is his ex-girlfriend.,0,60
96,Why does the man widen his eyes?,2,0ajln01OfXs,He is shocked by an insulting thing the pregnant woman said to him.,The man is surprised by the beautiful scenery in the background.,He is surprised at how far along the pregnant woman is in her pregnancy.,The man is not expecting to hear that the pregnant woman's husband is also a teacher.,0,60
97,Why does the pregnant woman laugh at 0:26?,0,0ajln01OfXs,She is upset at what her friends are insinuating about her.,She finds a joke that her friends told funny.,She laughs at a funny comment made by her friend.,She is laughing at a joke her friend made about her due date.,0,60
98,Is the talk show host excited to meet the taxi driver?,2,0djStqAuc_E,The talk show host is annoyed with the taxi driver.,"No, he yells at the taxi driver because the driver was late to pick","Yes, he talks excitedly",The talk show host is impressed with the taxi driver's driving skills.,0,57
99,Is the taxi driver excited to meet the talk show host?,2,0djStqAuc_E,The taxi driver is a big fan of the talk show host.,The taxi driver feels awkward around the talk show host.,He does not seem especially excited,Is the taxi driver thrilled to meet the famous host? He seems to be jumping in anticipation.,0,57
100,What did the taxi driver feel when the two people entered his car with a keyboard?,3,0djStqAuc_E,He is amazed by the keyboard playing.,He is excited to hear the keyboard.,He was confused as to why one of them brought a keyboard.,"He felt happy to meet them, willing to take them around the city.",0,57
101,What was the man in the video doing that made the crowd laugh in the beginning?,2,0djStqAuc_E,He was juggling oranges that made the crowd laugh.,He was making entertaining gestures while speaking.,He made a hilarious statement about being eco-friendly.,He was wearing a funny hat that made the crowd laugh.,0,57
102,Why did the crowd cheer at the man in the video?,2,0djStqAuc_E,The crowd is cheering for the taxi cab.,The crowd is happy about the idea of a mini talk show.,"They felt complimented and agree with what he said, in which they're the best people to meet.",They were excited with what he was going to host soon.,0,57
103,Why does the audience cheer?,2,0djStqAuc_E,The audience cheers because the man in the suit is wearing a funny hat.,The audience cheers because the man mentioned their favorite food.,The audience cheers because the man mentioned the town where they were from.,The audience cheers because they like the place the man mentioned.,0,57
104,Why does the man in white ask how the man in grey was feeling?,1,0djStqAuc_E,He asked because he wanted to know the weather.,He asked because it is a social nicety.,He asked because he was interested in the man in grey.,He asked because he wanted to know the time.,0,57
105,Why does the talk show host want to talk to the taxi driver?,0,0djStqAuc_E,To meet the people of Brooklyn,He is asking the taxi driver for directions to a restaurant.,They are discussing the weather in Brooklyn.,if this taxi driver should be the one to go onto the talk show,0,57
106,Does the man try to help the woman?,0,0g2o-CfakW0,"Yes, he asks her questions about the person who victimized her.","No, he is interested in her.",The man is more interested in the music playing in the background than the woman's story.,The woman is more concerned about the man's shirt color than the attack.,0,60
107,Does the woman think the man's joke is funny?,0,0g2o-CfakW0,"No, she brushes it off and continues with a serious conversation.","The man makes a joke, but nobody laughs.","Yes, she laughs after he tells it.",She looks confused and doesn't respond.,0,60
108,Why does the man laugh?,0,0g2o-CfakW0,He is brushing off an insult.,The man is laughing at the woman's story.,He finds a joke funny.,The man is laughing at his own joke.,0,60
109,Why does the woman keep pausing when she speaks?,0,0g2o-CfakW0,She is trying to recall details before saying them.,She is nervous and uncomfortable talking about the incident.,She is worried about the man's intentions and is scared to speak.,She wants to choose her words carefully to avoid being suspected of something.,0,60
110,Why does the woman walk out of the room?,2,0g2o-CfakW0,She needs to get something from the other room.,She is uncomfortable with the man's questions.,She is not interested in flirting with the man.,She is angry at the man for not believing her story.,0,60
111,Does the woman agree with the man?,0,0gcuigYJ2cw,Yes the woman nods her head as he speaks and voices her agreement with his opinion.,The woman agrees with the man because she thinks he is knowledgeable about the topic.,The woman has a completely different opinion than the man's.,The woman disagrees with the man's suggestion.,0,58
112,How does the man feel while speaking?,3,0gcuigYJ2cw,"The man is a bit nervous, but he enjoys the challenge.",The man is excited to go on vacation.,The man feels confident about the idea that he is proposing.,The man feels confident,0,58
113,How does the woman feel about the man's idea?,1,0gcuigYJ2cw,The woman is indifferent to the man's idea.,She feels passionate about it because she agrees with it.,She thinks it is a good idea and is happy.,The woman is confused about the man's idea.,0,58
114,How does the woman react when the man references complexity?,3,0gcuigYJ2cw,She is glad that he brought up such an idea.,The woman laughs at the man's suggestion.,The woman suggests a completely different topic to discuss.,The woman nods when the man references complexity,0,58
115,Is the man enthusiastic about the topic he is speaking about?,2,0gcuigYJ2cw,The man suggests using Skype to record audio or video interviews and posting them on Instagram.,Is the man interested in the topic he is speaking about.,"Yes, the man believes a lot in the topic he speaks about",The man is not very excited about the idea.,0,58
116,What is the woman's attitude as she listens to the man speak?,2,0gcuigYJ2cw,The woman doesn't completely agree with the man's suggestion.,The woman thinks the man's suggestion is a waste of time.,The woman's attitude as she listens to the man speak is respectful and attentive.,The woman's attitude is interested in the man as he speaks.,0,58
117,Why did the man widen his eyes and raise his eyebrows?,0,0gcuigYJ2cw,He was excited about what he is saying,He is amazed by the woman's knowledge of the subject.,He is surprised,He was confused by the woman's suggestion.,0,58
118,Why was the lady nodding while the man was speaking?,1,0gcuigYJ2cw,The woman was checking her phone during the conversation.,To show that she was following along,The lady was taking notes while the man was speaking.,Because she was interested in the man's talking.,0,58
119,How does the man feel about the person he is describing?,3,0gqxDPO3I9g,He is upset by what the person did.,The man is disappointed by the person's accomplishments.,The man is confused about the person's accomplishments.,He is impressed by the person's accomplishments.,0,60
120,Is the woman interested in what the man is saying?,1,0gqxDPO3I9g,The woman is annoyed and wants to change the topic.,"Yes, she asks engaging follow-up questions.",The woman is distracted by the trees and benches in the background.,"No, her responses are tepid and do not lead to further conversation.",0,60
121,What is the tone of the conversation between the man and the woman?,2,0gqxDPO3I9g,It is a lighthearted conversation.,They are having a humorous conversation.,"It is a serious conversation, but humor is occasionally welcome.",They are having a casual conversation.,0,60
